review_id,user_url,username,stars,time,text
ChZDSUhNMG9nS0VMaTR6b1BUNTlmSUJnEAE,https://www.google.com/maps/contrib/103776975649379372657/reviews?hl=es-419,,4,Hace 4 meses,"Muy bonito lugar. Actividades excelentes. Para pasarla un buen rato con los amigos. Lo único que no mucho me gustó es que las esponjas no tenían tan buen aroma. Entiendo que uno suda en esos juegos, pero deberían de mejorar la limpieza o el cambio de los mismos. Por mi el resto super bien. Comida muy rica, la pizza es deliciosa. Las calcetas lindas y uno se queda con el recuerdo. Lo visite entre semana en la mañana así que no estuvo lleno y se logró disfrutar de todas las actividades. Parqueo super amplio. Se visitó en Día de semana Tiempo de espera Sin espera Reservas recomendadas No"
Ci9DQUlRQUNvZENodHljRjlvT2tVNFF6QmhUREZVY0VOdk5WbDFOV0pwWDFneVVWRRAB,https://www.google.com/maps/contrib/114263930200938958290/reviews?hl=es-419,,5,Editado Hace un mes,Excelente lugar para pasar tiempo en familia. Se visitó en Fin de semana Tiempo de espera Sin espera Reservas recomendadas Sí
Ci9DQUlRQUNvZENodHljRjlvT2pNNGNuUXRORFU1WVdwbmRubExRbFpsVGxWSVdrRRAB,https://www.google.com/maps/contrib/105869100145132481036/reviews?hl=es-419,,5,Hace 3 meses,Un excelente lugar para que los niños gasten energía. Y también para adultos. Gracias a Carlos y Ale y a todo el equipo por un excelente servicio.
Ci9DQUlRQUNvZENodHljRjlvT2xsSllqbFliM1o0WkU5elpGTkZiMEZIZEY5UmNFRRAB,https://www.google.com/maps/contrib/106407009387471372499/reviews?hl=es-419,,5,Hace un mes,"Excelente lugar para diversión y ejercicios para adolescentes especialmente, pero también adultos disfrutan de ello."
ChZDSUhNMG9nS0VJQ0FnSUNaaTh5M0tnEAE,https://www.google.com/maps/contrib/101841818601360499196/reviews?hl=es-419,,4,Hace 2 años,"Tenía mis dudas sobre visitar este lugar pero la verdad valió la pena ya que es un lugar para salir de la rutina. Saltar es bueno para liberar stress, hacer ejercicio y sudar mucho. Para los niños es un excelente lugar donde pueden agotar su energía y al mismo tiempo divertirse mucho✨😅 En cuanto a las instalaciones están conservadas y limpias. No le doy 5 estrellas ya que el personal de la entrada debe ser más atento, servicial y explicar las reglas, fue mi primera visita y tuve que preguntar a cada rato para aclarar mis dudas por qué nadie te explica a detalle. Se agradece que haya personal en cada sección por cualquier eventualidad que se pudiera dar. Dentro puedes comprar alimentos (pizza, hamburguesas) y consumirlos ahí. Hay un pequeño espacio donde el acompañante que no quiera hacer uso de las instalaciones pueda esperar. Recomendación: hacer un poco de calentamiento previo a ingresar o puede re sentirlo su espalda, brazos, pies...etc. 😅🥲☺️ Se visitó en Fin de semana Tiempo de espera Sin espera Reservas recomendadas No"
ChdDSUhNMG9nS0VMX0gwUG5mZzZlb3R3RRAB,https://www.google.com/maps/contrib/117487468834417550494/reviews?hl=es-419,,5,Hace 4 meses,"La comida muy rica y buena, si eres adulto tratar de ir entre semana ya que en fin de semana se llena de niños y da pena lastimarlos o ir también en las noches Se visitó en Fin de semana Tiempo de espera Sin espera Reservas recomendadas No lo sé"
ChdDSUhNMG9nS0VJQ0FnSUR1MWV6c3FRRRAB,https://www.google.com/maps/contrib/107167196535856222639/reviews?hl=es-419,,5,Hace 3 años,"Me encanto el lugar, tienen un excelente servicio al cliente, todos sus colaboradores son muy atentos con los invitados, nos la pasamos super genial en familia unos divertimos mucho. Lo recomiendo para pasar un tiempo de calidad en familia."
ChdDSUhNMG9nS0VJQ0FnSURKa011QzlnRRAB,https://www.google.com/maps/contrib/105643186663015174193/reviews?hl=es-419,,4,Hace 2 años,Para padres e hijos es un lugar propio para liberar estrés y toxinas. Es hacer algo diferente dentro de Guatemala ya que no hay muchas alternativas de esparcimiento. Para eventos de cumpleaños puede ser una buena opción Se visitó en Fin de semana Tiempo de espera Sin espera Reservas recomendadas No
ChZDSUhNMG9nS0VJQ0FnSUMxenBTU0VBEAE,https://www.google.com/maps/contrib/105534772834231746969/reviews?hl=es-419,,4,Hace un año,"Primera vez que fuimos. Es un lugar para saltar. La cafetería tiene poca comida. Solo hamburguesas y pizza. Café, agua y bebidas. Se visitó en Día de semana"
ChdDSUhNMG9nS0VJQ0FnSUNKdVpuaTlRRRAB,https://www.google.com/maps/contrib/115142558487877496461/reviews?hl=es-419,,5,Hace 2 años,"Super, para desestresarse,compartir de algo nuevo...la verdad me gustó mucho"
ChZDSUhNMG9nS0VJQ0FnSUNHcDdQOWF3EAE,https://www.google.com/maps/contrib/101875041403345748353/reviews?hl=es-419,,5,Hace 3 años,"Perfecto para ir con los niños y pasar un momento agradable y salir bastante cansado, tarifas de Q125 por hora y media, 2 horas por Q150."
ChZDSUhNMG9nS0VPZllfNGo0N2Qyak13EAE,https://www.google.com/maps/contrib/110465570687137201045/reviews?hl=es-419,,5,Hace 4 meses,Es muy bueno traje aquí a mi hijo y se quedó allí jugando muy bonito todo Se visitó en Fin de semana Tiempo de espera Sin espera Reservas recomendadas No lo sé
ChZDSUhNMG9nS0VJQ0FnSUMyajhEWGFREAE,https://www.google.com/maps/contrib/118206899184606187674/reviews?hl=es-419,,5,Hace 3 años,"Un lugar muy divertido, con excelente servicio y animaciòn para pasar momentos inolvidables"
ChdDSUhNMG9nS0VJQ0FnSUR5MHIybl9RRRAB,https://www.google.com/maps/contrib/107311466341015129298/reviews?hl=es-419,,5,Hace 4 años,"Muy divertido, con diferentes estaciones de juegos para saltar, el espacio es bastante amplio y con muy buenas medidas de higiene y distanciamiento. Amplio parqueo, área de venta de comida, lockers, y para cambiarse los zapatos."
ChRDSUhNMG9nS0VJQ0FnSUMzckw1XxAB,https://www.google.com/maps/contrib/115241373008449822664/reviews?hl=es-419,,4,Hace 11 meses,"Muy bonito todo, la experiencia muy buena, lo único que veo malo es que todas las esponjas huelen a sudor entonces apenas salgas de allí vete directo a darte un baño. Creo que es inevitable ya que son demasiadas las personas que frecuentan el lugar. Recomiendo no ir pasadas las 6 de la tarde un fin de semana porque se vuelve intransitable, casi no puedes usar nada. Se visitó en Fin de semana Tiempo de espera Hasta 10 min Reservas recomendadas No"
ChZDSUhNMG9nS0VJQ0FnSURleDV2WEVnEAE,https://www.google.com/maps/contrib/106517205868965800533/reviews?hl=es-419,,5,Hace 2 años,"Total aventura saltarina, desde la entrada !!! Con un clasico juego 😃... retos y momentos de placer en varios tipos de ambientes para relajar el cuerpo. (Recuerda calentar antes de un ejercicio a largo plazo!! )…"
Ci9DQUlRQUNvZENodHljRjlvT2poMlMyaFRWR1kzWnkxTlNXcEpXbWh2Wm10c05sRRAB,https://www.google.com/maps/contrib/114324148423171204901/reviews?hl=es-419,,4,Hace 3 meses,Lindo lugar para ejercitar sobre todo a los niños
ChdDSUhNMG9nS0VJQ0FnSURRczZ2LWtnRRAB,https://www.google.com/maps/contrib/102424374601688446633/reviews?hl=es-419,,5,Hace 7 años,"Buen lugar para un rato de diversion para niños y adultos, una variedad de juegos para saltar, pasar obstaculos o pelea sobre cubos de foamy, todos se la pasan muy bien y es un ejercicio muy completo, hay areas para piñata y un area comun para snacks, los precios un poco altos por lo novedoso y el lugar que esta en optimo estado."
ChZDSUhNMG9nS0VJQ0FnSUQwdUkzWkVBEAE,https://www.google.com/maps/contrib/113691031909570539999/reviews?hl=es-419,,4,Hace 5 años,"Un lugar diferente para que los chicos gasten energías. El personal es atento. Lo único raro es que te tenga que cobrar los celcetines aparte de la entrada, eso lo hace caro. El personal que pasa en los saltatines es amable. La comida si es necesario que la mejoren. Los parqueos y el lugar en sí son accesibles."
ChdDSUhNMG9nS0VJQ0FnTUN3cGRmanFnRRAB,https://www.google.com/maps/contrib/102824985732141576410/reviews?hl=es-419,,5,Hace 6 meses,"Divertido, excelente para pasarla con amigos o familia, aunque si es una salida para la que planeas un presupuesto de al menos 200 si quieres jugar y comer en el lugar"
ChZDSUhNMG9nS0VJQ0FnSUQtLXRtdlRBEAE,https://www.google.com/maps/contrib/114852551877839970096/reviews?hl=es-419,,4,Hace 2 años,"Buen lugar para desestresarse, los precios si los considero altos pero es también por la zona en la que se encuentra, la comida es muy buena 👌 y el parqueo es amplio, es ideal para celebrar un cumpleaños 🎂 para unos niños entre 10 a 15 años aun que los adultos también pueden disfrutar del lugar.…"
